speed_kmh,dist_from_prev_m,inactivity_min,dist_from_route_m,label,scenario,hour
0.09,12.0,25.0,35.5,0,overnight,12
0.59,58.2,12.0,142.8,0,dwell,20
0.23,45.0,27.0,32.1,0,overnight,1
0.31,6.3,40.0,24.1,0,overnight,22
0.58,24.4,11.0,138.5,0,dwell,14
0.27,41.8,27.0,29.6,0,overnight,6
0.75,33.6,10.0,41.6,0,dwell,14
1.27,46.2,14.0,141.8,0,dwell,14
0.19,12.2,25.0,39.2,0,overnight,0
1.57,32.0,13.0,141.8,0,dwell,13
0.3,29.5,25.0,42.4,0,overnight,8
0.45,46.6,29.0,37.6,0,overnight,5
0.43,53.0,29.0,37.5,0,overnight,22
0.25,73.2,34.0,31.9,0,overnight,19
0.12,98.4,8.65,164.2,0,synthetic_normal,9
6.38,50.1,6.68,53.5,0,normal,19
0.03,46.9,22.0,20.8,0,overnight,20
0.4,47.3,30.0,43.9,0,overnight,23
0.33,83.1,29.0,57.6,0,overnight,7
0.45,32.1,33.0,42.6,0,overnight,21
0.33,24.9,24.0,32.0,0,overnight,12
1.1,53.3,11.0,48.4,0,dwell,5
1.06,24.3,9.0,83.3,0,dwell,3
32.9,15275.0,111.74,1227.8,1,signal_loss_return,15
0.49,11.3,24.0,34.7,0,overnight,10
0.42,10.8,20.0,21.3,0,overnight,11
0.1,9.9,8.0,51.5,0,dwell,22
2.82,156165.6,145.78,215.0,1,intercity_transit,15
0.24,37.3,30.0,40.0,0,overnight,10
0.4,64.0,29.0,41.4,0,overnight,19
0.41,8.5,32.0,37.7,0,overnight,6
0.37,69.2,21.0,45.7,0,overnight,6
0.14,66.3,28.0,26.3,0,overnight,2
0.24,43.7,38.0,42.6,0,overnight,18
0.69,42.5,72.08,577.7,1,prolonged_inactivity,16
0.4,84.2,40.0,52.1,0,overnight,23
0.16,24.6,37.0,51.5,0,overnight,23
0.02,20.2,33.0,16.5,0,overnight,6
0.02,65.9,23.0,14.3,0,overnight,1
0.07,57.2,28.0,34.5,0,overnight,16
0.48,72.5,37.0,29.7,0,overnight,7
0.44,18.2,29.0,39.0,0,overnight,11
0.12,36.0,29.0,26.9,0,overnight,10
0.34,31.6,31.0,47.8,0,overnight,2
0.17,65.0,36.0,44.3,0,overnight,9
0.49,23.3,28.0,26.7,0,overnight,8
0.44,45.9,25.0,40.4,0,overnight,17
42.49,7282.0,2.17,1612.6,1,sudden_jump,18
0.31,20.5,28.0,22.3,0,overnight,20
0.36,40.2,31.0,39.8,0,overnight,9
1.24,33.6,18.54,655.9,0,synthetic_normal,5
4.38,167.8,23.05,157.5,0,normal,13
4.15,265.1,5.92,38.3,0,normal,14
0.28,83.8,24.0,41.3,0,overnight,1
0.29,37.8,22.0,36.0,0,overnight,0
0.18,23.2,38.0,45.7,0,overnight,20
23.3,1449.3,2.5,21.1,0,normal,18
0.08,29.1,13.3,26.2,0,synthetic_normal,3
0.44,13.6,27.0,29.7,0,overnight,4
1.24,26.1,6.0,89.1,0,dwell,13
0.88,49.7,11.0,40.1,0,dwell,14
0.7,137.7,9.73,593.7,0,synthetic_normal,21
0.18,56.7,29.0,21.8,0,overnight,18
0.29,39.5,22.0,2.6,0,overnight,12
0.22,65.8,20.0,57.9,0,overnight,18
0.36,24.0,26.0,18.5,0,overnight,19
145.54,3554.7,1.23,3150.7,1,abduction_speed,3
0.18,38.1,24.0,23.9,0,overnight,10
0.47,31.8,28.0,34.4,0,overnight,1
0.4,62.9,31.0,31.6,0,overnight,20
0.17,46.6,36.0,38.5,0,overnight,8
0.22,39.8,33.0,42.0,0,overnight,3
0.97,31.5,98.7,283.2,1,prolonged_inactivity,23
0.33,51.0,39.0,23.1,0,overnight,5
0.42,85.9,26.0,42.9,0,overnight,18
6.28,177.8,35.1,147.4,0,normal,13
0.01,9.8,37.0,28.7,0,overnight,22
0.49,47.9,40.0,3.3,0,overnight,20
0.24,34.1,40.0,32.0,0,overnight,12
0.06,61.0,33.0,5.8,0,overnight,9
0.05,17.4,23.0,21.1,0,overnight,3
0.06,31.5,33.0,40.6,0,overnight,6
0.47,52.7,21.0,42.2,0,overnight,18
0.13,26.9,23.0,22.7,0,overnight,20
1.29,10.3,13.0,131.1,0,dwell,13
0.07,88.5,36.0,42.7,0,overnight,5
0.05,28.9,37.0,38.4,0,overnight,7
0.34,16.0,11.0,118.9,0,dwell,14
0.83,15.4,14.0,18.2,0,dwell,15
0.76,34.7,9.0,52.3,0,dwell,17
4.09,239.1,4.95,108.7,0,normal,16
0.21,59.4,23.0,32.7,0,overnight,10
0.4,13.5,40.0,44.4,0,overnight,11
0.44,24.4,23.0,44.8,0,overnight,22
0.19,12.8,26.0,28.9,0,overnight,9
0.94,1.8,13.0,41.9,0,dwell,16
1.47,19.7,13.0,29.9,0,dwell,14
1.25,32.5,6.0,59.1,0,dwell,14
0.06,36.2,28.24,240.2,0,synthetic_normal,3
0.36,66.4,36.0,32.1,0,overnight,12
0.43,51.4,20.0,41.9,0,overnight,3
0.07,80.7,29.0,49.5,0,overnight,23
24.88,603.6,6.72,837.8,0,synthetic_normal,10
27.89,7841.3,1.89,3987.5,1,sudden_jump,16
0.31,16.9,27.0,48.9,0,overnight,21
60.63,4000.0,192.27,8969.4,1,signal_loss_return,23
30.21,1409.8,0.0,175.6,0,synthetic_normal,7
28.84,9599.3,6.02,2793.0,1,sudden_jump,23
0.27,20.1,29.0,22.3,0,overnight,0
35.74,1558.6,3.6,113.6,0,normal,16
0.2,10.0,27.0,24.7,0,overnight,19
0.09,40.5,28.0,39.2,0,overnight,19
1.35,43.0,12.0,70.8,0,dwell,17
0.09,56.5,28.0,18.3,0,overnight,19
0.05,21.4,113.82,749.4,1,prolonged_inactivity,3
0.3,94.5,32.52,179.5,0,synthetic_normal,16
0.26,24.9,24.0,23.2,0,overnight,9
1.63,84.1,22.44,29.4,0,synthetic_normal,12
0.16,86.3,30.0,48.7,0,overnight,15
0.13,65.2,36.0,43.0,0,overnight,0
2.3,88.1,31.57,45.4,0,normal,13
0.3,38.1,20.0,44.7,0,overnight,11
0.27,1987.9,11.95,5796.6,1,route_abandonment,21
0.16,55.1,25.0,52.2,0,overnight,11
0.29,49.1,27.0,25.9,0,overnight,16
0.21,48.2,39.0,52.1,0,overnight,23
0.39,35.9,29.0,13.8,0,overnight,12
0.16,68.2,34.0,30.4,0,overnight,1
0.45,23.8,37.0,28.7,0,overnight,6
0.41,33.7,21.0,27.4,0,overnight,4
1.03,21.4,6.0,50.7,0,dwell,18
0.35,34.3,25.0,44.0,0,overnight,4
0.38,43.5,40.0,35.8,0,overnight,9
4.09,267.9,55.37,140.0,1,normal,13
0.09,38.8,25.0,13.1,0,overnight,12
0.15,37.8,23.0,26.4,0,overnight,7
0.39,28.3,40.0,43.7,0,overnight,11
0.32,48.0,30.0,46.3,0,overnight,0
0.05,41.4,30.0,4.7,0,overnight,8
0.4,58.4,40.0,6.3,0,overnight,8
0.18,57.8,40.0,33.9,0,overnight,20
0.05,101.2,29.0,54.6,0,overnight,10
0.01,26.2,23.0,26.8,0,overnight,15
0.31,66.9,24.0,23.3,0,overnight,4
0.38,77.1,20.0,25.5,0,overnight,11
0.13,71.7,33.0,44.8,0,overnight,3
0.3,25.0,38.0,31.4,0,overnight,21
0.26,60.5,37.0,30.6,0,overnight,22
0.45,23.4,32.0,41.7,0,overnight,6
0.22,58.4,36.0,38.9,0,overnight,5
0.2,90.5,29.0,55.6,0,overnight,6
3.69,87.3,43.7,52.1,0,normal,13
0.31,19.5,25.0,48.7,0,overnight,17
0.27,45.8,26.0,28.7,0,overnight,0
1.39,25.3,10.0,105.0,0,dwell,14
0.24,59.9,21.0,15.9,0,overnight,18
0.16,54.8,33.0,16.7,0,overnight,3
0.13,14.0,39.0,34.7,0,overnight,8
1.0,0.9,14.0,112.6,0,dwell,16
0.05,57.8,36.0,53.3,0,overnight,3
28.08,2264.3,4.97,15.3,0,normal,5
0.45,58.5,7.0,37.5,0,dwell,19
0.52,34.3,10.0,43.1,0,dwell,4
1.0,25.0,14.0,98.5,0,dwell,16
5.06,143.8,65.93,106.6,1,normal,13
1.28,25.7,9.0,65.9,0,dwell,17
0.36,101.6,32.0,48.4,0,overnight,6
1.2,37.1,14.0,23.8,0,dwell,17
0.07,30.7,20.0,37.0,0,overnight,22
0.29,89.4,24.0,58.9,0,overnight,4
0.34,27.7,28.0,13.0,0,overnight,20
0.37,36.8,24.0,30.9,0,overnight,18
0.83,32.9,13.0,46.8,0,dwell,20
1.38,56.5,6.0,28.4,0,dwell,15
1.04,74.7,19.23,537.7,0,synthetic_normal,2
1.41,36.6,8.0,92.3,0,dwell,14
1.14,28.2,7.0,118.9,0,dwell,19
0.37,9.6,38.0,39.2,0,overnight,20
1.0,35.5,14.0,59.5,0,dwell,20
0.0,40.9,52.2,822.1,1,prolonged_inactivity,0
0.03,110.8,6.93,232.0,0,synthetic_normal,4
125.52,3355.2,2.21,4138.8,1,abduction_speed,20
0.45,22.9,7.0,22.5,0,dwell,19
0.23,47.5,32.0,38.4,0,overnight,11
0.17,29.5,23.0,48.4,0,overnight,7
0.25,46.6,36.0,37.9,0,overnight,0
0.47,77.9,32.0,46.2,0,overnight,9
0.14,27.7,31.0,19.0,0,overnight,2
0.17,49.5,24.95,168.9,0,synthetic_normal,8
14.26,3598.6,5.0,5610.8,1,sudden_jump,3
0.47,28.4,33.0,18.3,0,overnight,6
0.92,28.0,10.0,143.8,0,dwell,13
0.6,29.3,7.0,136.4,0,dwell,18
1.58,25.0,11.0,66.1,0,dwell,5
0.39,58.9,21.0,33.1,0,overnight,1
0.18,33.5,32.0,0.7,0,overnight,2
0.43,39.3,30.0,11.3,0,overnight,1
5.04,314.4,2.92,63.5,0,normal,13
0.03,51.5,39.0,30.8,0,overnight,12
0.2,69.2,36.0,34.6,0,overnight,0
0.58,2.9,19.34,295.1,0,synthetic_normal,19
0.24,41.9,28.0,18.6,0,overnight,12
0.3,64.0,30.0,38.2,0,overnight,9
0.45,58.9,29.0,50.0,0,overnight,8
0.71,4.2,14.0,33.4,0,dwell,15
0.4,71.9,21.0,32.8,0,overnight,0
1.24,56.6,11.0,105.5,0,dwell,4
0.37,74.0,23.0,31.9,0,overnight,17
0.23,57.6,25.0,31.3,0,overnight,4
0.16,16.9,6.0,13.7,0,dwell,14
0.28,27.7,36.0,25.5,0,overnight,9
1.56,48.2,14.0,42.0,0,dwell,20
0.27,62.2,36.0,23.7,0,overnight,9
0.49,26.0,22.0,24.8,0,overnight,5
0.17,54.3,33.46,64.0,0,synthetic_normal,5
0.2,57.6,21.0,34.6,0,overnight,7
0.0,19.4,21.0,37.7,0,overnight,12
0.06,24.6,21.0,33.8,0,overnight,0
25.72,6757.2,5.07,3268.0,1,sudden_jump,10
0.21,23.2,23.0,18.2,0,overnight,2
0.39,57.0,22.0,4.5,0,overnight,6
22.37,2317.7,11.8,10249.4,1,route_abandonment,8
0.04,64.8,30.0,37.5,0,overnight,21
0.19,53.8,42.13,173.8,0,synthetic_normal,7
0.4,59.0,39.0,39.0,0,overnight,5
0.28,66.7,33.0,25.6,0,overnight,20
0.11,13.4,9.0,22.3,0,dwell,14
1.45,19.8,10.0,90.2,0,dwell,17
0.28,25.3,35.0,39.7,0,overnight,18
0.48,40.1,21.0,34.4,0,overnight,17
0.16,31.8,25.0,33.0,0,overnight,12
19.53,922.1,6.0,464.7,0,normal,14
0.42,80.7,25.0,41.7,0,overnight,20
0.07,33.9,8.0,161.3,0,dwell,7
28.47,1816.1,2.75,78.2,0,normal,13
0.37,24.3,21.0,19.0,0,overnight,21
0.11,98.8,25.0,46.2,0,overnight,6
0.14,63.1,34.0,43.0,0,overnight,8
0.19,56.7,38.0,16.6,0,overnight,10
0.25,8.6,24.0,31.6,0,overnight,8
0.49,11.4,25.0,22.2,0,overnight,22
25.47,1567.5,12.2,19547.6,1,route_abandonment,7
3.96,0.0,0.02,145.5,0,normal,13
1.03,51.3,6.0,45.7,0,dwell,15
0.12,86.4,29.0,47.2,0,overnight,20
0.44,29.7,31.0,22.4,0,overnight,19
0.56,45.6,18.5,505.6,0,synthetic_normal,22
1.36,5.8,12.0,42.6,0,dwell,15
0.24,38.2,18.39,6.0,0,synthetic_normal,2
0.15,70.7,23.0,43.3,0,overnight,21
0.31,31.7,22.0,53.2,0,overnight,1
30.81,18857.4,186.8,4936.8,1,signal_loss_return,14
3.64,192.2,48.35,65.1,1,normal,13
0.12,69.9,5.42,452.8,0,synthetic_normal,16
0.71,14.6,12.0,112.8,0,dwell,3
4.76,157.6,33.82,160.1,0,normal,13
0.24,69.5,30.0,42.7,0,overnight,16
0.45,91.3,23.0,39.5,0,overnight,20
0.34,41.4,11.0,29.1,0,dwell,7
0.34,105.1,22.0,52.6,0,overnight,5
1.59,26.5,13.0,55.0,0,dwell,19
0.29,64.3,33.0,38.6,0,overnight,3
0.78,33.9,14.0,105.8,0,dwell,14
0.39,18.9,33.0,34.1,0,overnight,9
0.48,40.8,23.0,41.3,0,overnight,4
0.96,24.4,14.0,54.6,0,dwell,16
0.09,38.8,38.0,8.8,0,overnight,9
121.0,8546.0,2.67,4332.2,1,abduction_speed,7
0.99,38.9,10.0,85.7,0,dwell,21
1.6,31.7,8.0,160.5,0,dwell,19
0.62,30.3,7.0,69.2,0,dwell,15
0.11,61.5,30.0,33.5,0,overnight,4
0.03,31.3,36.0,39.0,0,overnight,3
0.41,50.8,21.0,35.3,0,overnight,7
1.2,52.3,9.0,42.0,0,dwell,4
0.36,26.4,26.0,9.5,0,overnight,11
1.36,37.9,9.0,41.1,0,dwell,14
0.0,67.3,28.0,37.9,0,overnight,5
0.06,62.1,34.0,27.2,0,overnight,21
0.42,52.7,30.0,38.8,0,overnight,17
0.11,6.7,37.0,22.3,0,overnight,10
4.63,127.6,6.87,22.1,0,normal,15
0.32,49.2,22.0,31.6,0,overnight,9
0.48,10.1,35.0,35.1,0,overnight,2
0.38,77.1,24.0,38.5,0,overnight,22
0.13,39.4,33.0,44.5,0,overnight,8
4.16,132.4,3.62,18.1,0,normal,13
1.32,97.6,14.25,85.5,0,synthetic_normal,15
5.1,88.6,4.62,114.7,0,normal,14
0.47,9.8,38.0,26.1,0,overnight,17
0.43,94.0,23.0,57.9,0,overnight,16
0.09,27.3,36.0,30.8,0,overnight,9
0.39,38.9,24.0,21.0,0,overnight,11
0.01,22.8,22.0,33.5,0,overnight,0
0.06,20.4,39.0,29.3,0,overnight,18
0.39,45.9,22.0,32.6,0,overnight,4
0.23,62.2,20.0,47.5,0,overnight,21
4.68,128.5,5.53,147.4,0,normal,14
3.92,187.5,3.88,37.5,0,normal,19
0.02,13.1,40.0,32.9,0,overnight,9
0.16,42.9,34.0,43.0,0,overnight,16
0.32,42.7,11.0,5.0,0,dwell,14
0.28,13.6,33.0,18.6,0,overnight,6
0.03,50.1,21.0,51.3,0,overnight,21
0.14,44.3,33.0,27.1,0,overnight,19
4.85,83.5,4.17,78.1,0,normal,13
0.19,69.0,40.0,46.9,0,overnight,12
0.93,60.5,12.0,91.9,0,dwell,18
0.07,30.6,36.0,52.7,0,overnight,18
0.35,93.6,22.0,44.9,0,overnight,18
0.25,72.9,21.0,45.7,0,overnight,23
1.33,27.7,9.0,181.3,0,dwell,18
0.22,63.2,30.0,51.4,0,overnight,20
0.48,17.4,34.0,8.3,0,overnight,3
0.07,76.0,40.0,42.4,0,overnight,7
0.48,35.9,29.0,22.6,0,overnight,16
0.43,16.1,40.0,30.3,0,overnight,7
1.16,12.8,6.0,44.2,0,dwell,16
0.13,92.5,37.53,122.6,0,synthetic_normal,15
0.42,79.9,25.0,52.6,0,overnight,6
179.25,6238.0,3.54,2450.0,1,abduction_speed,0
0.39,51.1,39.0,13.8,0,overnight,5
0.32,78.3,34.0,47.9,0,overnight,0
4.52,143614.5,374.0,147.4,1,intercity_transit,19
0.08,71.3,34.0,40.2,0,overnight,10
0.39,27.8,28.0,44.4,0,overnight,19
1.28,32.7,7.0,56.3,0,dwell,18
1.01,7.5,8.0,37.2,0,dwell,14
0.17,38.2,38.0,35.2,0,overnight,4
1.46,17.7,14.0,29.4,0,dwell,16
0.18,47.2,35.0,26.7,0,overnight,2
0.24,14.1,9.0,174.3,0,dwell,14
0.15,54.6,39.0,31.3,0,overnight,0
0.32,66.7,29.0,24.6,0,overnight,16
0.49,15.6,17.03,650.1,0,synthetic_normal,16
0.05,143.6,44.38,563.8,0,synthetic_normal,8
0.23,24.9,13.0,43.0,0,dwell,14
0.24,49.5,29.0,33.8,0,overnight,0
4.71,222191.8,366.03,108.4,1,intercity_transit,18
0.15,23.6,36.0,25.3,0,overnight,20
0.48,19.8,36.0,44.9,0,overnight,23
0.33,28.9,13.0,25.4,0,dwell,22
0.42,42.1,24.0,15.7,0,overnight,3
0.36,27.2,32.0,40.4,0,overnight,16
0.21,122.2,31.19,297.6,0,synthetic_normal,2
0.08,73.8,27.0,34.8,0,overnight,10
0.21,18.8,33.0,33.4,0,overnight,10
0.67,21.8,10.0,17.1,0,dwell,14
0.75,104.1,43.31,554.3,0,synthetic_normal,0
0.44,21.2,39.0,15.5,0,overnight,1
32.29,8014.5,7.74,3934.4,1,sudden_jump,3
0.49,58.3,30.0,38.1,0,overnight,5
4.24,242.6,4.33,155.9,0,normal,14
0.12,49.9,25.0,45.4,0,overnight,9
0.28,22.9,31.0,25.4,0,overnight,0
0.31,29.0,22.0,40.5,0,overnight,22
0.34,53.2,36.0,43.0,0,overnight,17
0.0,2860.6,1.03,12277.9,1,route_abandonment,12
0.21,56.1,22.0,39.9,0,overnight,17
0.21,16.8,22.0,24.5,0,overnight,23
0.2,17.1,9.0,69.6,0,dwell,6
0.51,44.5,11.0,74.2,0,dwell,14
0.34,33.9,21.0,12.3,0,overnight,23
0.01,65.6,34.0,50.9,0,overnight,15
0.15,18.0,32.0,17.5,0,overnight,16
0.15,62.0,41.41,220.9,0,synthetic_normal,23
0.06,27.6,35.0,29.2,0,overnight,16
0.3,55.9,40.0,35.5,0,overnight,7
0.48,48.0,29.0,7.6,0,overnight,1
0.54,26.5,14.0,37.0,0,dwell,15
0.25,33.1,40.0,18.4,0,overnight,10
0.14,41.6,35.0,31.2,0,overnight,4
0.0,18.6,35.0,45.1,0,overnight,0
0.35,85.3,35.0,40.1,0,overnight,3
0.21,21.0,34.0,24.1,0,overnight,18
0.4,37.2,20.0,44.5,0,overnight,8
0.26,20.6,30.0,29.2,0,overnight,23
0.66,60.7,12.96,593.4,0,synthetic_normal,15
0.7,84.8,9.57,787.1,0,synthetic_normal,20
16.58,9591.1,3.8,5175.4,1,sudden_jump,21
0.9,92.0,30.08,458.8,0,synthetic_normal,10
0.01,24.9,36.0,21.2,0,overnight,3
0.13,28.9,22.0,13.3,0,overnight,7
1.08,25.4,6.0,16.1,0,dwell,21
0.41,11.1,23.0,35.4,0,overnight,15
0.26,8.5,31.0,32.6,0,overnight,5
0.25,10.7,12.0,75.9,0,synthetic_normal,12
0.17,10.4,29.0,27.9,0,overnight,9
0.16,16.2,36.0,39.0,0,overnight,10
22.65,13886.7,66.54,7182.2,1,signal_loss_return,14
0.25,23.8,40.0,45.5,0,overnight,7
0.88,17.0,13.0,55.3,0,dwell,18
0.2,74.2,37.0,39.8,0,overnight,20
0.3,165.2,28.77,173.2,0,synthetic_normal,7
0.25,10.2,37.0,42.6,0,overnight,9
0.22,37.8,34.0,34.1,0,overnight,3
1.86,53.1,17.34,81.3,0,synthetic_normal,22
0.21,48.1,21.0,36.8,0,overnight,8
150.56,2801.3,0.67,1164.7,1,abduction_speed,3
1.57,36.9,13.0,50.9,0,dwell,15
1.47,23.3,6.0,47.0,0,dwell,15
0.0,0.0,108.89,499.4,1,prolonged_inactivity,3
0.55,64.7,6.86,331.9,0,synthetic_normal,18
0.06,25.4,32.0,18.1,0,overnight,12
0.38,55.2,25.0,37.8,0,overnight,19
0.44,45.9,20.0,15.0,0,overnight,19
4.4,76.4,4.83,53.8,0,normal,16
0.36,18.0,26.0,42.8,0,overnight,18
0.84,112.4,26.92,494.9,0,synthetic_normal,6
0.21,30.2,27.0,46.9,0,overnight,19
0.37,39.9,38.0,39.5,0,overnight,2
0.08,11.2,30.74,1147.6,0,synthetic_normal,8
4.35,203.8,4.93,56.6,0,normal,15
0.45,5.7,23.0,52.3,0,overnight,11
4.99,182.4,6.37,151.2,0,normal,14
22.27,2114.1,8.95,16702.7,1,route_abandonment,20
0.75,28.9,6.0,84.4,0,dwell,20
32.93,1831.7,4.05,434.2,0,normal,17
0.12,60.9,35.0,36.9,0,overnight,9
0.31,34.8,40.0,33.1,0,overnight,16
1.5,7.3,12.0,33.7,0,dwell,6
0.21,52.0,35.0,20.3,0,overnight,18
0.19,49.5,27.0,36.9,0,overnight,18
41.1,29888.2,247.17,640.1,1,intercity_transit,17
0.03,26.6,20.0,32.0,0,overnight,20
0.12,31.5,24.0,43.4,0,overnight,5
0.36,41.4,21.0,29.4,0,overnight,11
0.29,73.4,30.0,46.0,0,overnight,1
0.43,48.5,21.0,35.9,0,overnight,21
1.15,19.2,8.0,63.7,0,dwell,20
0.22,5.5,35.0,33.5,0,overnight,10
0.04,39.3,29.0,18.0,0,overnight,1
0.26,62.7,28.0,34.1,0,overnight,19
0.18,38.7,27.0,35.1,0,overnight,0
0.27,80.1,28.0,36.0,0,overnight,10
0.09,37.4,12.0,147.3,0,dwell,16
0.24,62.8,24.0,27.3,0,overnight,0
35.73,9095.2,2.59,2977.1,1,sudden_jump,21
0.39,29.5,31.0,17.0,0,overnight,8
0.1,8.5,32.0,35.8,0,overnight,11
0.29,60.3,25.0,41.0,0,overnight,23
27.18,789.5,3.33,114.3,0,normal,3
0.32,51.7,31.0,38.9,0,overnight,11
0.14,10.9,40.0,31.6,0,overnight,5
0.35,43.1,24.0,19.7,0,overnight,17
1.6,14.2,12.0,125.7,0,dwell,18
0.45,18.0,30.0,17.7,0,overnight,3
0.75,49.4,9.0,10.3,0,dwell,5
0.8,47.5,11.0,133.1,0,dwell,17
25.35,2816.3,11.95,3242.4,1,route_abandonment,20
0.66,27.4,9.0,8.1,0,dwell,14
23.52,1355.4,5.82,879.6,0,normal,15
0.46,45.7,11.86,744.7,0,synthetic_normal,6
1.32,21.0,9.0,20.2,0,dwell,14
31.04,10956.3,4.83,1433.5,1,sudden_jump,19
0.08,72.0,36.0,32.8,0,overnight,12
0.43,14.5,33.0,35.3,0,overnight,21
2.63,1471.0,6.44,6530.5,1,route_abandonment,0
0.14,44.6,24.0,32.6,0,overnight,19
0.43,29.0,21.0,5.5,0,overnight,17
0.31,65.9,25.0,55.6,0,overnight,11
0.1,54.1,22.0,45.7,0,overnight,23
26.32,1432.6,3.85,34.4,0,normal,13
30.78,996.8,4.73,127.4,0,normal,4
0.74,25.0,11.0,99.3,0,dwell,13
0.03,34.7,11.0,37.2,0,dwell,21
1.56,46.7,13.0,26.8,0,dwell,21
1.1,30.0,7.0,48.5,0,dwell,19
10.94,0.0,0.59,110.1,0,synthetic_normal,7
0.34,12.3,22.0,14.2,0,overnight,2
1.54,38.2,10.0,70.9,0,dwell,8
0.22,25.2,10.0,9.8,0,dwell,20
4.99,328.2,4.27,466.4,0,normal,5
0.39,42.5,29.0,10.2,0,overnight,0
0.98,8.2,10.0,52.8,0,dwell,16
24.82,2125.9,6.32,43.3,0,normal,13
0.36,29.3,31.0,41.9,0,overnight,7
1.37,81.4,8.0,54.6,0,dwell,18
3.95,0.0,0.02,361.9,0,normal,13
0.04,44.5,37.0,24.5,0,overnight,5
0.37,101.7,38.0,46.7,0,overnight,8
0.32,21.8,24.0,35.3,0,overnight,20
0.05,85.6,33.0,47.2,0,overnight,21
4.51,154.9,5.4,12.4,0,normal,14
0.2,66.1,30.0,50.9,0,overnight,0
0.35,13.7,36.0,40.2,0,overnight,16
0.01,34.9,27.0,32.5,0,overnight,22
0.19,69.1,28.0,35.6,0,overnight,10
0.18,66.2,31.0,33.7,0,overnight,21
0.96,42.3,19.28,325.1,0,synthetic_normal,15
0.42,68.8,30.0,36.3,0,overnight,20
0.9,29.4,6.0,114.8,0,dwell,15
1.09,18.5,14.0,123.0,0,dwell,13
0.4,25.7,28.0,10.7,0,overnight,1
0.39,43.4,37.0,11.9,0,overnight,11
32.68,2331.5,2.5,120.3,0,normal,14
0.19,54.6,24.0,41.7,0,overnight,19
0.08,50.1,24.0,38.0,0,overnight,4
0.93,61.5,13.0,50.4,0,dwell,21
0.41,23.6,36.0,11.0,0,overnight,17
0.06,20.8,32.0,34.1,0,overnight,12
0.34,18.6,31.0,21.5,0,overnight,22
7.82,227.5,6.6,141.1,0,normal,13
0.13,226.7,7.21,34.6,0,synthetic_normal,22
1.59,20.8,8.0,133.1,0,dwell,13
0.41,56.1,20.0,14.2,0,overnight,11
0.2,16.2,21.0,45.0,0,overnight,11
0.03,12.1,29.0,24.3,0,overnight,4
0.23,81.7,22.0,40.6,0,overnight,11
0.38,33.5,20.0,24.2,0,overnight,1
31.35,4000.0,126.01,5028.0,1,signal_loss_return,16
0.43,27.6,36.0,5.9,0,overnight,0
0.08,40.4,8.0,173.2,0,dwell,13
0.23,44.5,20.0,40.3,0,overnight,18
0.43,44.3,11.59,589.2,0,synthetic_normal,17
0.63,68.1,12.0,19.9,0,dwell,15
0.33,29.6,33.0,33.1,0,overnight,7
0.07,22.6,9.0,13.8,0,dwell,0
26.59,4615.6,18.28,4001.8,1,route_deviation,13
0.15,37.4,22.0,3.0,0,overnight,6
0.01,50.7,23.0,26.0,0,overnight,20
0.42,15.0,33.0,40.3,0,overnight,6
0.29,23.7,22.01,218.7,0,synthetic_normal,8
0.24,17.0,34.0,28.2,0,overnight,4
0.66,27.3,10.0,38.2,0,dwell,4
4.25,43.9,3.42,43.6,0,normal,13
0.2,90.7,38.0,42.6,0,overnight,23
0.45,46.5,6.0,102.8,0,dwell,19
48.04,3000.0,4.72,4579.4,1,sudden_jump,19
0.12,43.1,20.0,20.4,0,overnight,19
0.5,34.1,9.0,138.3,0,dwell,21
1.44,47.0,12.0,27.9,0,dwell,14
0.12,56.2,27.0,13.9,0,overnight,5
0.02,87.8,22.0,47.3,0,overnight,0
0.34,72.6,39.0,34.8,0,overnight,0
0.01,19.7,12.0,135.0,0,dwell,15
0.33,62.9,22.0,45.8,0,overnight,23
0.02,41.6,26.0,14.1,0,overnight,15
0.11,52.2,26.0,38.8,0,overnight,12
0.24,34.4,32.0,28.5,0,overnight,6
0.33,69.0,22.0,21.9,0,overnight,1
34.05,9442.7,3.06,5165.8,1,sudden_jump,7
0.03,84.7,38.0,51.0,0,overnight,0
0.32,3.4,23.0,18.7,0,overnight,10
0.01,10.8,21.0,26.2,0,overnight,4
0.47,41.7,23.0,36.6,0,overnight,7
32.31,616.3,3.05,38.3,0,normal,14
0.19,42.5,38.0,20.6,0,overnight,1
0.42,85.2,35.0,41.2,0,overnight,18
0.25,44.4,36.0,31.3,0,overnight,18
0.02,34.2,28.0,35.4,0,overnight,7
0.49,54.0,31.0,24.1,0,overnight,2
0.46,29.5,36.0,34.8,0,overnight,5
0.0,6.0,28.0,21.1,0,overnight,5
0.42,54.7,31.0,18.9,0,overnight,6
0.45,38.0,31.0,20.9,0,overnight,22
0.34,35.3,31.0,41.2,0,overnight,9
0.22,23.3,36.0,27.0,0,overnight,6
0.19,64.6,20.0,32.6,0,overnight,22
0.64,26.4,8.0,51.6,0,dwell,16
0.06,49.2,32.0,28.5,0,overnight,4
37.14,10192.5,117.81,4552.7,1,signal_loss_return,6
1.2,119.2,28.01,323.7,0,synthetic_normal,20
0.15,49.3,33.0,26.0,0,overnight,21
0.24,32.3,32.0,20.1,0,overnight,2
0.17,62.1,25.0,41.3,0,overnight,11
0.14,64.9,31.0,37.2,0,overnight,20
